PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
2,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
3,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
4,D,1,10,L,-49,Run,Rush,7,Twins Split,--,R,R,--,--,--,--,--,1
5,D,2,3,L,44,Run,Rush,0,Twins Split,--,R,R,--,--,--,--,--,1
6,D,3,3,R,44,Run,Rush,3,Twins Split,--,L,L,--,--,--,--,--,1
7,D,1,10,R,41,Run,Rush,11,Twins Split,--,R,R,--,--,--,--,--,1
8,D,1,10,R,30,Pass,Complete,26,DOUBLES,--,BAL,L,--,--,--,--,--,1
9,D,1,4,L,4,Run,Rush,-2,PRO,--,R,R,--,--,--,--,--,1
10,D,2,6,M,6,Run,Rush,4,PRO,--,R,L,--,--,--,--,--,1
11,D,3,2,L,2,Run,Rush,-18,PRO,--,R,R,--,--,--,--,--,1
12,O,1,10,R,-20,Run,Rush,40,Trips,--,R,L,--,--,--,--,--,1
13,O,1,10,L,40,Run,Rush,-3,LIZ,--,L,R,--,--,--,--,--,1
14,O,2,13,L,43,Run,Rush,4,LIZ,--,R,R,--,--,--,--,--,1
15,O,3,9,M,39,Run,Rush,8,TE Trips Split,--,L,L,--,--,--,--,--,1
16,O,4,1,L,31,Run,Rush,-5,Ace Twins,--,R,L,--,--,--,--,--,1
17,D,1,10,R,-36,Pass,Complete,23,Twins Split,--,R,R,--,--,--,--,--,1
18,D,1,10,R,41,--,Timeout,0,--,--,--,--,--,--,--,--,--,1
19,D,1,10,R,41,Pass,Penalty,-5,DOUBLES,--,BAL,R,--,--,--,--,--,1
20,D,1,15,R,46,Pass,Complete,7,DOUBLES,--,BAL,R,--,--,--,--,--,1
21,D,2,8,R,39,Pass,Incomplete,0,Trips,--,L,R,--,--,--,--,--,1
22,D,3,8,R,39,Pass,Interception,--,DOUBLES,--,BAL,R,--,--,--,--,--,1
23,O,1,10,L,-35,Run,Rush,1,Ace Twins,--,L,R,--,--,--,--,--,1
24,O,2,9,R,-36,Run,Rush,2,DOUBLES,--,BAL,L,--,--,--,--,--,1
25,O,3,7,L,-38,Pass,Complete,40,Trips,--,R,L,--,--,--,--,--,1
26,O,1,10,L,22,Run,Rush,5,DOUBLES,--,BAL,L,--,--,--,--,--,1
27,O,2,5,L,17,Run,Rush,-3,Ace Twins,--,R,R,--,--,--,--,--,1
28,O,3,8,M,20,Run,Rush,4,TE Trips Split,--,R,R,--,--,--,--,--,2
29,O,4,4,R,16,Pass,Incomplete,0,TE Trips Split,--,L,L,--,--,--,--,--,2
30,D,1,10,L,-17,Run,Rush,1,Trips,--,R,R,--,--,--,--,--,2
31,D,2,9,M,-18,Pass,Incomplete,0,Twins Split,--,R,R,--,--,--,--,--,2
32,D,3,9,M,-18,Pass,Incomplete,0,Trips,--,L,L,--,--,--,--,--,2
33,K,4,9,M,-18,Punt Rec,Out of Bounds,--,--,--,--,--,--,--,--,--,--,2
34,O,1,10,L,-49,Run,Rush,2,Ace Twins,--,L,R,--,--,--,--,--,2
35,O,2,8,M,49,Run,Rush,-1,DOUBLES,--,BAL,L,--,--,--,--,--,2
36,O,3,9,M,50,Run,Rush,4,TE Trips Split,--,R,R,--,--,--,--,--,2
37,K,4,5,R,46,Punt,Return,--,--,--,--,--,--,--,--,--,--,2
38,D,1,10,R,40,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
39,D,1,10,R,40,Run,Rush,2,DOUBLES,--,BAL,R,--,--,--,--,--,2
40,D,2,8,R,38,Run,Rush,-10,DOUBLES,--,BAL,L,--,--,--,--,--,2
41,D,3,18,M,48,Pass,Sack,-4,Trips,--,L,L,--,--,--,--,--,2
42,K,4,22,M,-48,Punt,Return,--,--,--,--,--,--,--,--,--,--,2
43,O,1,10,R,-10,Run,Rush,19,Ace Twins,--,R,R,--,--,--,--,--,2
44,O,1,10,R,-29,--,Penalty,-5,Ace Twins,--,R,--,--,--,--,--,--,2
45,O,1,15,R,-24,--,Penalty,-5,TE Trips Split,--,L,--,--,--,--,--,--,2
46,O,1,20,R,-19,Pass,Complete,5,Trips,--,L,L,--,--,--,--,--,2
47,O,2,15,L,-24,Pass,Incomplete,0,TE Trips Split,--,R,R,--,--,--,--,--,2
