PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,KO,Recovered,--,--,--,--,--,--,--,--,--,--,1
2,O,1,10,L,34,Run,Rush,-6,Doubles Wing,--,L,R,--,--,--,--,--,1
3,O,2,16,R,40,Run,Rush,-3,--,--,--,L,--,--,--,--,--,1
4,O,3,19,M,43,Pass,Scramble,1,Trips,--,L,R,--,--,--,--,--,1
5,K,4,18,R,42,Punt,Out of Bounds,--,--,--,--,--,--,--,--,--,--,1
6,D,1,10,L,-10,Pass,Incomplete,0,--,--,--,R,--,--,--,--,--,1
7,D,2,10,L,-10,Run,Rush,14,--,--,--,R,--,--,--,--,--,1
8,D,1,10,M,-24,Run,Rush,20,--,--,--,R,--,--,--,--,--,1
9,D,1,10,R,-44,Pass,Complete,49,Twins Split,--,R,L,--,--,--,--,--,1
10,D,1,7,M,7,Run,"Rush, TD",7,Trips Pinch,--,R,R,--,--,--,--,--,1
11,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,1
12,K,--,--,R,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
13,O,1,10,R,-25,Run,Rush,2,--,--,--,L,--,--,--,--,--,1
14,O,2,8,L,-27,Run,Rush,0,--,--,--,L,--,--,--,--,--,1
15,O,3,8,L,-27,Pass,Incomplete,0,Twins Split,--,R,R,--,--,--,--,--,1
16,K,4,8,L,-27,Punt,Downed,--,--,--,--,--,--,--,--,--,--,1
17,D,1,10,R,-40,Run,Rush,-3,Trips Pinch,--,R,R,--,--,--,--,--,1
18,D,2,13,R,-37,Run,Rush,1,Twins,--,R,L,--,--,--,--,--,1
19,D,3,12,R,-38,Pass,Complete,39,Trips Pinch,--,R,R,--,--,--,--,--,1
20,D,1,10,R,23,Run,Rush,8,PRO,--,R,R,--,--,--,--,--,1
21,D,2,2,R,15,Pass,"Complete, TD",15,Twins,--,R,L,--,--,--,--,--,1
22,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
23,O,1,10,L,40,Run,Rush,-8,Trips Pinch,--,L,R,--,--,--,--,--,1
24,O,2,18,L,48,Run,Rush,-8,--,--,--,R,--,--,--,--,--,1
25,O,3,26,R,-44,Pass,Complete,-1,Trips,--,L,R,--,--,--,--,--,1
26,K,4,27,R,-43,Punt,Return,--,--,--,--,--,--,--,--,--,--,1
27,D,1,10,R,-32,Run,Rush,-6,--,--,--,L,--,--,--,--,--,1
28,D,2,16,R,-26,--,Penalty,-5,--,--,--,--,--,--,--,--,--,1
29,D,3,21,R,-21,Pass,Interception,--,--,--,--,L,--,--,--,--,--,1
30,O,1,10,R,10,Pass,Sack,-8,--,--,--,L,--,--,--,--,--,1
31,O,2,18,M,18,Pass,Scramble,9,Ace Twins,--,R,R,--,--,--,--,--,1
32,O,3,9,R,9,Pass,Complete,8,--,--,--,L,--,--,--,--,--,1
33,O,4,1,L,1,Run,"Rush, TD",1,--,--,--,L,--,--,--,--,--,1
34,K,--,--,M,3,2 Pt.,Good,--,--,--,--,L,--,--,--,--,--,1
35,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
36,D,1,10,L,-40,Run,Rush,3,PRO,--,R,R,--,--,--,--,--,1
37,D,2,7,M,-43,Pass,Incomplete,0,Trips Pinch,--,R,R,--,--,--,--,--,1
38,D,3,7,M,-43,Pass,Incomplete,0,Trips Tight,--,L,L,--,--,--,--,--,1
39,K,4,7,M,-43,Punt Rec,Downed,--,--,--,--,--,--,--,--,--,--,1
40,O,1,10,L,-25,Run,Rush,5,--,--,--,R,--,--,--,--,--,1
41,O,2,5,R,-30,Pass,Incomplete,0,Trips,--,L,L,--,--,--,--,--,2
42,O,3,5,R,-30,Pass,Incomplete,0,Trips,--,L,L,--,--,--,--,--,2
43,K,4,5,R,-30,Punt,Fair Catch,--,--,--,--,--,--,--,--,--,--,2
44,D,1,10,L,-39,Run,Rush,31,Twins,--,R,L,--,--,--,--,--,2
45,D,1,10,L,30,Run,Rush,6,Twins,--,L,R,--,--,--,--,--,2
