PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
2,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
3,K,1,10,M,-27,KO Rec,Return,0,--,--,--,--,--,--,--,--,--,1
4,O,2,10,L,-27,Run,Rush,-1,Twins Split,--,R,R,--,--,--,--,--,1
5,O,3,11,R,-26,Pass,Sack,1,Tight Double Wing,--,BAL,L,--,--,--,--,--,1
6,K,4,10,R,-27,Punt,Fair Catch,--,--,--,--,--,--,--,--,--,--,1
7,D,1,10,R,-43,Run,Rush,24,Doubles Wing,--,R,R,--,--,--,--,--,1
8,D,1,10,L,33,Run,Rush,1,LIZ,--,L,L,--,--,--,--,--,1
9,D,2,9,L,32,Pass,Complete,10,DOUBLES,--,BAL,R,--,--,--,--,--,1
10,D,1,10,R,22,Run,Rush,2,Twins Split,--,L,L,--,--,--,--,--,1
11,D,2,8,R,20,Run,Rush,14,Twins Split,--,L,L,--,--,--,--,--,1
12,D,1,6,M,6,Run,Rush,4,Twins Split,--,R,R,--,--,--,--,--,1
13,D,2,2,R,2,Run,"Rush, TD",2,Twins Split,--,R,L,--,--,--,--,--,1
14,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,1
15,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
16,O,1,10,L,-29,Run,Rush,-5,Doubles Wing,--,L,R,--,--,--,--,--,1
17,O,2,15,L,-24,Run,Rush,0,Trips,--,L,R,--,--,--,--,--,1
18,O,3,15,R,-24,Pass,Complete,2,DOUBLES,--,BAL,L,--,--,--,--,--,1
19,K,4,13,M,-26,Punt,Downed,--,--,--,--,--,--,--,--,--,--,1
20,D,1,10,L,45,Pass,Complete,34,DOUBLES,--,BAL,R,--,--,--,--,--,1
21,D,1,10,R,11,Pass,Complete,-4,DOUBLES,--,BAL,L,--,--,--,--,--,1
22,D,2,14,L,15,Pass,"Complete, TD",15,DOUBLES,--,BAL,R,--,--,--,--,--,1
23,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,1
24,K,--,--,M,-40,KO Rec,Out of Bounds,--,--,--,--,--,--,--,--,--,--,1
25,O,1,10,M,-35,Run,Rush,-1,DOUBLES,--,BAL,L,--,--,--,--,--,1
26,O,2,11,L,-34,Pass,Complete,29,DOUBLES,--,BAL,R,--,--,--,--,--,1
27,O,1,10,R,37,Run,Rush,4,DOUBLES,--,BAL,R,--,--,--,--,--,1
28,O,2,6,R,33,Run,Rush,3,Trips,--,R,L,--,--,--,--,--,1
29,O,3,3,M,30,Run,Rush,0,PRO,--,R,R,--,--,--,--,--,1
30,O,4,3,R,30,Pass,Incomplete,0,Doubles Wing,--,R,L,--,--,--,--,--,1
31,D,1,10,L,-30,Pass,Complete,15,DOUBLES,--,BAL,R,--,--,--,--,--,1
32,D,1,10,R,-45,Run,Rush,17,DOUBLES,--,BAL,L,--,--,--,--,--,1
33,D,1,10,L,38,Pass,"Complete, TD",38,DOUBLES,--,BAL,R,--,--,--,--,--,1
34,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,1
35,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
36,O,1,10,R,-20,Run,Rush,-4,Wing Split,--,L,L,--,--,--,--,--,1
37,O,2,14,M,-16,Pass,Incomplete,0,Trips Pinch,--,L,L,--,--,--,--,--,2
38,O,3,14,M,-16,Run,Rush,-5,Trips,--,R,L,--,--,--,--,--,2
39,K,4,19,L,-11,Punt,Return,--,--,--,--,--,--,--,--,--,--,2
40,D,1,10,M,49,Run,Rush,1,DOUBLES,--,BAL,L,--,--,--,--,--,2
41,D,2,9,M,48,Run,Rush,15,DOUBLES,--,BAL,L,--,--,--,--,--,2
42,D,1,10,M,33,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
43,D,1,10,M,33,Run,Rush,24,Twins Split,--,R,R,--,--,--,--,--,2
44,D,1,9,R,9,Run,Rush,0,Twins Split,--,R,L,--,--,--,--,--,2
45,D,2,9,M,9,Pass,Complete,-5,Twins Split,--,R,R,--,--,--,--,--,2
46,D,3,14,M,14,Pass,Incomplete,0,Twins Split,--,L,R,--,--,--,--,--,2
