PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3,D,1,10,L,-40,Pass,Complete,13,DOUBLES,--,BAL,R,--,--,--,--,--,1
4,D,1,10,R,47,Run,Rush,0,DOUBLES,--,BAL,R,--,--,--,--,--,1
5,D,2,10,R,47,Run,Rush,6,DOUBLES,--,BAL,R,--,--,--,--,--,1
6,D,3,4,R,41,Run,Rush,-3,Twins Split,--,R,L,--,--,--,--,--,1
7,D,4,7,L,44,Run,Rush,0,Twins Split,--,L,R,--,--,--,--,--,1
8,O,1,10,M,-44,Run,Rush,1,Twins Split,--,R,L,--,--,--,--,--,1
9,O,2,9,L,-45,Run,Rush,1,Trips,--,L,R,--,--,--,--,--,1
10,O,3,8,M,-46,Pass,Incomplete,0,DOUBLES,--,BAL,R,--,--,--,--,--,1
11,K,4,8,M,-46,Punt,Return,--,--,--,--,--,--,--,--,--,--,1
12,D,1,10,L,-26,Run,Rush,-1,DOUBLES,--,BAL,R,--,--,--,--,--,1
13,D,2,11,M,-25,Run,Rush,-3,Twins Split,--,R,R,--,--,--,--,--,1
14,D,3,14,M,-22,Pass,Incomplete,0,DOUBLES,--,BAL,R,--,--,--,--,--,1
15,K,4,14,M,-22,Punt Rec,Return,--,--,--,--,--,--,--,--,--,--,1
16,O,1,10,L,-40,Run,Rush,5,DOUBLES PINCH,--,BAL,R,--,--,--,--,--,1
17,O,2,5,R,-45,Run,Rush,1,DOUBLES PINCH,--,BAL,L,--,--,--,--,--,1
18,O,3,4,M,-46,Pass,Complete,8,DOUBLES,--,BAL,L,--,--,--,--,--,1
19,O,1,10,L,46,Run,Rush,28,DOUBLES,--,BAL,R,--,--,--,--,--,1
20,O,1,10,L,18,Run,Rush,0,Trips,--,R,L,--,--,--,--,--,1
21,O,2,10,L,18,Pass,Incomplete,0,Trips,--,R,R,--,--,--,--,--,1
22,O,3,10,L,18,Pass,Incomplete,0,TE Trips Split,--,R,R,--,--,--,--,--,1
23,O,4,10,L,18,Pass,Incomplete,0,TE Trips Split,--,R,L,--,--,--,--,--,1
24,D,1,10,M,-18,Run,Rush,1,Twins Split,--,L,R,--,--,--,--,--,1
25,D,2,9,R,-19,Run,Rush,6,Twins Split,--,R,R,--,--,--,--,--,1
26,D,3,3,R,-25,Run,Rush,1,Twins Split,--,R,R,--,--,--,--,--,1
27,K,4,2,R,-26,Punt Rec,Out of Bounds,--,--,--,--,--,--,--,--,--,--,1
28,O,1,10,L,49,Run,Rush,1,Doubles Wing,--,L,R,--,--,--,--,--,1
29,O,2,9,M,48,Run,Rush,4,DOUBLES,--,BAL,L,--,--,--,--,--,1
30,O,3,5,L,44,Run,Rush,19,DOUBLES,--,BAL,R,--,--,--,--,--,1
31,O,1,10,M,25,Run,Rush,0,Doubles Wing,--,R,R,--,--,--,--,--,1
32,O,2,10,M,25,Run,Rush,19,Trips,--,R,R,--,--,--,--,--,1
33,O,1,6,L,6,Run,"Rush, TD",6,Trips Pinch,--,R,R,--,--,--,--,--,1
34,K,--,--,M,3,Extra Pt.,No Good,--,--,--,--,--,--,--,--,--,--,1
35,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
36,D,1,10,R,-24,Run,Rush,1,DOUBLES,--,BAL,L,--,--,--,--,--,1
