PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
2,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
3,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
4,D,1,10,L,-36,Run,Rush,1,--,--,--,R,--,--,--,--,--,1
5,D,2,9,M,-37,Run,Rush,12,Trips,--,R,R,--,--,--,--,--,1
6,D,1,10,R,-49,Run,Rush,-7,Trips,--,L,R,--,--,--,--,--,1
7,D,2,17,R,-42,Run,Rush,7,DOUBLES,--,BAL,L,--,--,--,--,--,1
8,D,3,10,M,-49,Run,Rush,18,DOUBLES,--,BAL,R,--,--,--,--,--,1
9,D,1,10,R,33,Run,Rush,0,Trips,--,L,L,--,--,--,--,--,1
10,D,2,10,R,33,Pass,Complete,9,DOUBLES,--,BAL,R,--,--,--,--,--,1
11,D,3,1,R,24,Run,Rush,-1,DOUBLES,--,BAL,L,--,--,--,--,--,1
12,D,4,2,M,25,Pass,Complete,2,DOUBLES,--,BAL,R,--,--,--,--,--,1
13,D,1,10,R,23,Pass,Incomplete,0,DOUBLES,--,BAL,L,--,--,--,--,--,1
14,D,2,10,R,23,Pass,"Complete, TD",23,DOUBLES,--,BAL,R,--,--,--,--,--,1
15,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,1
16,K,--,--,M,-40,Onside Kick,Return,--,--,--,--,--,--,--,--,--,--,1
17,O,1,10,R,-40,Run,Rush,-1,Twins Split,--,L,L,--,--,--,--,--,1
18,O,2,11,R,-39,Run,Rush,14,Twins Split,--,R,R,--,--,--,--,--,1
19,O,1,10,R,47,Pass,Incomplete,0,Twins Split,--,L,L,--,--,--,--,--,1
20,O,2,10,R,47,Pass,Complete,13,DOUBLES,--,BAL,L,--,--,--,--,--,1
21,O,1,10,L,34,Run,Rush,-7,--,--,--,R,--,--,--,--,--,1
22,O,2,17,R,41,Pass,Incomplete,0,--,--,--,L,--,--,--,--,--,1
23,O,3,17,R,41,Run,Rush,8,TE Trips Split,--,L,L,--,--,--,--,--,1
24,O,4,9,L,33,Pass,Complete,22,TE Trips Split,--,R,R,--,--,--,--,--,1
25,O,1,10,M,11,Run,Rush,8,Tight Pro,--,R,R,--,--,--,--,--,1
26,O,2,2,R,3,Run,"Rush, TD",3,--,--,--,R,--,--,--,--,--,1
27,K,--,--,M,3,Extra Pt.,Good,--,--,--,--,--,--,--,--,--,--,1
28,K,--,--,M,-40,KO,TD,--,--,--,--,--,--,--,--,--,--,1
29,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,1
30,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
31,O,1,10,L,-20,Pass,Incomplete,0,TE Trips Split,--,R,R,--,--,--,--,--,1
32,O,2,10,L,-20,Run,Rush,13,DOUBLES,--,BAL,R,--,--,--,--,--,1
33,O,1,10,R,-33,Run,Rush,21,Trips,--,R,R,--,--,--,--,--,1
34,O,1,10,R,46,Run,Rush,0,Twins Split,--,R,L,--,--,--,--,--,1
35,O,2,10,R,46,Run,Rush,4,Twins Split,--,R,L,--,--,--,--,--,1
36,O,3,6,L,42,Run,Rush,8,--,--,R,R,--,--,--,--,--,1
37,O,1,10,R,34,Pass,Complete,2,DOUBLES,--,BAL,L,--,--,--,--,--,1
38,O,2,8,L,32,Run,Rush,16,DOUBLES,--,BAL,L,--,--,--,--,--,1
39,O,1,10,L,16,Run,Rush,1,Twins Split,--,R,L,--,--,--,--,--,1
40,O,2,9,L,15,Run,Rush,3,--,--,--,R,--,--,--,--,--,1
41,O,3,6,L,12,Run,"Rush, TD",12,TRIPS NASTY,--,L,L,--,--,--,--,--,2
42,K,--,--,M,3,Extra Pt.,Block,--,--,--,--,--,--,--,--,--,--,2
43,K,--,--,L,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,2
44,D,1,10,L,-37,Pass,Complete,8,Trips,--,R,R,--,--,--,--,--,2
45,D,2,2,R,-45,Run,Rush,1,Trips,--,L,R,--,--,--,--,--,2
46,D,3,1,R,-46,Pass,Complete,4,Trips,--,L,R,--,--,--,--,--,2
47,D,1,10,R,50,Run,Rush,16,Trips,--,L,L,--,--,--,--,--,2
