PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,R,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
2,O,1,10,L,-35,Pass,Incomplete,0,DOUBLES,--,BAL,L,--,--,--,--,--,1
3,O,2,10,L,-35,Run,Rush,4,TE Trips Wing,--,R,R,--,--,--,--,--,1
4,O,3,6,M,-39,Run,Rush,0,LIZ,--,R,L,--,--,--,--,--,1
5,K,4,6,M,-39,Punt,Downed,--,--,--,--,--,--,--,--,--,--,1
6,D,1,10,M,42,Run,Rush,18,Doubles Wing,--,R,R,--,--,--,--,--,1
7,D,1,10,R,24,Run,Rush,12,Doubles Wing,--,L,R,--,--,--,--,--,1
8,D,1,10,R,12,Run,"Rush, TD",12,Doubles Wing,--,R,R,--,--,--,--,--,1
9,K,--,--,M,3,2 Pt. Defend,No Good,--,--,--,--,R,--,--,--,--,--,1
10,K,--,--,R,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
11,O,1,10,L,-25,Run,Rush,5,Trips,--,R,R,--,--,--,--,--,1
12,O,2,5,L,-30,Run,Fumble,0,Twins Split,--,R,R,--,--,--,--,--,1
13,D,1,10,R,30,Run,Rush,3,Twins Split,--,L,L,--,--,--,--,--,1
14,D,2,7,R,27,Run,Rush,-3,Twins Split,--,L,L,--,--,--,--,--,1
15,D,3,10,M,30,Pass,Incomplete,0,DOUBLES,--,BAL,R,--,--,--,--,--,1
16,D,4,10,M,30,Pass,Complete,0,Twins Split,--,R,L,--,--,--,--,--,1
17,O,1,10,R,-21,Run,Rush,27,Twins Split,--,R,L,--,--,--,--,--,1
18,O,1,10,L,-48,Run,Rush,4,LIZ,--,L,R,--,--,--,--,--,1
19,O,2,6,R,48,Run,Rush,15,Twins Split,--,R,R,--,--,--,--,--,1
20,O,1,10,R,33,Run,Rush,14,TE Trips Wing,--,R,L,--,--,--,--,--,1
21,O,1,10,L,19,Run,Rush,-1,TE Trips Wing,--,L,R,--,--,--,--,--,1
22,O,2,11,M,20,Run,Rush,11,DOUBLES,--,BAL,R,--,--,--,--,--,1
23,O,1,9,R,9,Run,Rush,2,DOUBLES,--,BAL,R,--,--,--,--,--,1
24,O,2,7,R,7,Run,"Rush, TD",7,TE Trips Wing,--,R,R,--,--,--,--,--,1
25,K,--,--,M,3,Extra Pt.,Good,--,--,--,--,--,--,--,--,--,--,1
26,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
27,D,1,10,M,-23,Run,Rush,6,Twins Split,--,R,R,--,--,--,--,--,1
28,D,2,4,M,-29,Run,Rush,2,Twins Split,--,L,L,--,--,--,--,--,1
29,D,3,2,M,-31,Pass,Scramble,7,Doubles Wing,--,R,R,--,--,--,--,--,1
30,D,1,10,R,-38,Run,Rush,2,Twins Split,--,L,L,--,--,--,--,--,1
31,D,2,8,R,-40,Pass,Complete,5,Twins Split,--,R,L,--,--,--,--,--,1
32,D,3,3,L,-45,Run,Rush,2,Twins Split,--,R,R,--,--,--,--,--,1
33,D,4,1,L,-47,Run,Rush,0,Twins Split,--,L,L,--,--,--,--,--,1
34,O,1,10,L,46,Run,Rush,7,Twins Split,--,L,R,--,--,--,--,--,1
35,O,2,3,R,39,Run,Rush,3,PRO,--,L,R,--,--,--,--,--,1
36,O,1,10,R,36,Run,Rush,5,TE Trips Wing,--,R,L,--,--,--,--,--,2
37,O,2,5,R,31,Run,Rush,-1,DOUBLES,--,BAL,R,--,--,--,--,--,2
38,O,3,6,R,32,Run,Rush,24,DOUBLES,--,BAL,L,--,--,--,--,--,2
39,O,1,8,R,8,Run,Penalty,-12,Ace Twins,--,R,L,--,--,--,--,--,2
40,O,2,20,R,20,Pass,Incomplete,0,Trips,--,L,R,--,--,--,--,--,2
