PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,O,1,10,L,-25,Pass,Complete,8,DOUBLES,2 WISCONSIN,BAL,R,--,--,--,--,--,1
7,O,2,2,R,-33,Run,Rush,0,Twins Split,2 MICHIGAN,R,L,--,--,--,--,--,1
8,O,3,2,M,-33,Run,Rush,7,DOUBLES,2 Wisconsin Option,BAL,L,--,--,--,--,--,1
9,O,1,10,L,-40,Run,Rush,21,DOUBLES,Fire 1 Gator Pride,BAL,L,--,--,--,--,--,1
10,O,1,10,L,39,Run,Rush,-2,Double Split,3 Tiger Red,BAL,L,--,--,--,--,--,1
11,O,2,12,L,41,Run,Rush,23,Trips,2 GOPHER,R,R,--,--,--,--,--,1
12,O,1,10,L,18,Run,"Rush, TD",18,DOUBLES,Fire 1 Gator Pride,BAL,L,--,--,--,--,--,1
13,K,1,--,M,3,2 Pt.,No Good,--,--,--,--,--,--,--,--,--,--,1
14,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
15,D,1,10,R,-30,Run,Rush,34,Double Wing Split,--,R,R,--,--,--,--,--,1
16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,D,2,25,L,36,Pass,Incomplete,0,Double Wing Split,--,L,R,--,--,--,--,--,1
18,D,3,25,L,36,--,Penalty,-5,Double Wing Split,--,L,--,--,--,--,--,--,1
19,D,3,30,L,41,Run,Rush,4,Double Wing Split,--,L,L,--,--,--,--,--,1
20,K,4,11,L,37,Punt Rec,Out of Bounds,--,--,--,--,--,--,--,--,--,--,1
21,O,1,10,L,-23,Pass,Incomplete,0,DOUBLES,Choice Bob,BAL,R,--,--,--,--,--,1
22,O,2,10,L,-23,Run,Rush,5,--,3 Badger Option,--,R,--,--,--,--,--,1
23,O,3,5,M,-28,--,Penalty,-6,Double Split,--,BAL,--,--,--,--,--,--,1
24,O,3,11,M,-22,Pass,Incomplete,0,Trips,Scat Bob,R,R,--,--,--,--,--,1
25,K,4,11,M,-22,Punt,Return,--,--,--,--,--,--,--,--,--,--,1
26,D,1,10,R,45,Run,Rush,2,Tight Double Wing,--,BAL,R,--,--,--,--,--,1
27,D,2,8,R,43,Run,Rush,3,Double Wing Split,--,R,R,--,--,--,--,--,1
28,D,3,5,R,40,--,Penalty,-5,Double Wing Split,--,R,--,--,--,--,--,--,1
29,D,3,10,R,45,Run,Rush,5,Double Wing Split,--,R,L,--,--,--,--,--,1
30,K,4,5,L,40,Punt Rec,Downed,0,--,--,--,--,--,--,--,--,--,1
31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,O,1,10,R,-9,Run,Rush,4,DOUBLES,Flame 1 Florida pride,BAL,L,--,--,--,--,--,1
33,O,2,6,R,-13,Run,Rush,6,DOUBLES,2 Wisconsin Keep,BAL,L,--,--,--,--,--,1
34,O,1,10,M,-19,Run,Rush,4,Twins Split,3 Wisconsin Option,R,L,--,--,--,--,--,1
