PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,KO,Touchback,--,--,--,--,--,--,--,--,--,--,1
2,D,1,10,M,-20,Run,Rush,9,--,--,L,L,--,--,--,--,--,1
3,D,2,1,L,-29,Run,Rush,9,--,--,L,L,--,--,--,--,--,1
4,D,1,10,L,-38,Run,Rush,2,--,--,R,R,--,--,--,--,--,1
5,D,2,8,M,-40,Run,Rush,18,Double Tight,--,BAL,R,--,--,--,--,--,1
6,D,1,10,R,42,Run,Rush,17,--,--,L,R,--,--,--,--,--,1
7,D,1,10,R,25,Run,Rush,1,Double Tight,--,BAL,R,--,--,--,--,--,1
8,D,2,9,R,24,Run,"Rush, TD",24,Double Tight,--,BAL,R,--,--,--,--,--,1
9,K,--,--,M,3,2 Pt. Defend,Good,--,--,--,--,L,--,--,--,--,--,1
10,K,--,--,M,-40,Onside Kick,Return,--,--,--,--,--,--,--,--,--,--,1
11,O,1,10,L,-47,Run,Rush,5,Ace Twins,--,L,R,--,--,--,--,--,1
12,O,2,5,M,48,Run,Rush,25,Ace Twins,--,L,R,--,--,--,--,--,1
13,O,1,10,L,23,Run,Rush,7,Ace Twins,--,R,L,--,--,--,--,--,1
14,O,2,3,L,16,Run,Rush,-3,Ace Twins,--,R,L,--,--,--,--,--,1
15,O,3,6,L,19,Run,"Rush, TD",19,TE Trips Split,--,R,R,--,--,--,--,--,1
16,K,--,--,M,3,2 Pt.,No Good,--,--,--,--,L,--,--,--,--,--,1
17,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
18,D,1,10,R,-20,Run,Rush,21,--,--,R,L,--,--,--,--,--,1
19,D,1,10,R,-41,Run,Rush,7,--,--,R,L,--,--,--,--,--,1
20,D,2,3,M,-48,Run,Rush,6,Double Tight,--,BAL,L,--,--,--,--,--,1
21,D,1,10,M,46,Run,Rush,-3,Double Tight,--,BAL,R,--,--,--,--,--,1
22,D,2,13,M,49,Run,Rush,2,Double Tight,--,BAL,R,--,--,--,--,--,1
23,D,3,11,M,47,Run,Rush,18,Double Tight,--,BAL,L,--,--,--,--,--,1
24,D,1,10,L,29,Run,Rush,2,--,--,L,R,--,--,--,--,--,1
25,D,2,8,L,27,Run,Rush,3,Double Tight,--,BAL,L,--,--,--,--,--,1
26,D,3,5,L,24,Run,Rush,10,Double Tight,--,BAL,R,--,--,--,--,--,1
27,D,1,10,R,14,Run,"Rush, TD",14,Double Tight,--,BAL,R,--,--,--,--,--,1
28,K,--,--,M,3,2 Pt. Defend,Good,--,--,--,--,R,--,--,--,--,--,1
29,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
30,O,1,10,R,-36,Run,Rush,6,Ace Twins,--,R,L,--,--,--,--,--,1
31,O,2,4,R,-42,--,Penalty,5,Ace Twins,--,R,--,--,--,--,--,--,2
32,O,2,10,R,-47,Run,Rush,-4,DOUBLES,--,BAL,L,--,--,--,--,--,2
33,O,3,14,L,-43,Run,Penalty,5,Ace Twins,--,L,L,--,--,--,--,--,2
34,O,3,9,M,-48,Run,Penalty,-5,TE Trips Split,--,R,R,--,--,--,--,--,2
35,O,3,14,R,-43,Run,Rush,0,Twins,--,R,L,--,--,--,--,--,2
36,K,4,14,M,-43,Punt,Return,--,--,--,--,--,--,--,--,--,--,2
37,D,1,10,M,-29,Run,Rush,24,--,--,R,L,--,--,--,--,--,2
38,D,1,10,L,47,Run,Rush,3,Double Tight,--,BAL,R,--,--,--,--,--,2
39,D,2,7,L,44,Run,Rush,5,Double Tight,--,BAL,R,--,--,--,--,--,2
40,D,3,2,M,39,Run,Rush,1,--,--,R,R,--,--,--,--,--,2
41,D,4,1,M,38,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
42,D,4,1,M,38,Run,Rush,1,--,--,R,R,--,--,--,--,--,2
43,D,1,10,R,37,Run,Rush,8,--,--,L,R,--,--,--,--,--,2
44,D,2,2,R,29,Run,Rush,9,Double Tight,--,BAL,L,--,--,--,--,--,2
45,D,1,10,M,20,Run,Rush,10,Double Tight,--,BAL,R,--,--,--,--,--,2
46,D,1,10,R,10,Run,Rush,5,Double Tight,--,BAL,R,--,--,--,--,--,2
47,D,2,5,R,5,Run,"Rush, TD",5,Double Tight,--,BAL,L,--,--,--,--,--,2
48,K,--,--,M,3,2 Pt. Defend,Good,--,--,--,--,--,--,--,--,--,--,2
49,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,2
50,O,1,10,R,-38,Pass,Complete,0,Ace Twins,--,R,R,--,--,--,--,--,2
51,O,2,10,R,-38,Pass,Incomplete,0,Trips Pinch,--,L,L,--,--,--,--,--,2
