PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
2,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
3,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
4,D,1,10,R,-42,Run,Rush,23,Trips Pinch,--,L,L,--,--,--,--,--,1
5,D,1,10,L,35,Run,Rush,3,DOUBLES,--,BAL,L,--,--,--,--,--,1
6,D,2,7,M,32,Run,Rush,0,Double Tight Wing,--,R,L,--,--,--,--,--,1
7,D,3,7,M,32,Run,Rush,27,Double Tight Wing,--,R,R,--,--,--,--,--,1
8,D,1,5,M,5,Run,Rush,0,Double Tight,--,BAL,L,--,--,--,--,--,1
9,D,2,5,M,5,--,Penalty,-5,--,--,--,--,--,--,--,--,--,1
10,D,2,10,M,10,Run,"Rush, TD",10,Trips Pinch,--,L,L,--,--,--,--,--,1
11,K,--,--,M,3,2 Pt. Defend,Timeout,--,--,--,--,--,--,--,--,--,--,1
12,K,--,--,M,3,2 Pt. Defend,Good,--,--,--,--,R,--,--,--,--,--,1
13,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
14,O,1,10,R,-25,Run,Rush,12,Twins Split,--,R,L,--,--,--,--,--,1
15,O,1,10,L,-37,Run,Rush,-2,Twins Split,--,L,R,--,--,--,--,--,1
16,O,2,12,L,-35,Run,Rush,0,Trips,--,L,R,--,--,--,--,--,1
17,O,3,12,L,-35,Run,Rush,-8,Doubles Wing,--,L,R,--,--,--,--,--,1
18,K,4,20,M,-27,Punt,Return,--,--,--,--,--,--,--,--,--,--,1
19,O,1,10,M,25,Pass,"Complete, TD",25,DOUBLES,--,BAL,R,--,--,--,--,--,1
20,K,--,--,M,3,2 Pt.,Good,--,--,--,--,L,--,--,--,--,--,1
21,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
22,O,1,10,M,-26,Run,Rush,11,PRO,--,R,L,--,--,--,--,--,1
23,O,1,10,L,-37,Run,Rush,-2,PRO,--,R,L,--,--,--,--,--,1
24,O,2,12,L,-35,Run,Rush,3,DOUBLES,--,BAL,R,--,--,--,--,--,1
25,O,3,9,L,-38,Run,Rush,-11,Trips,--,R,R,--,--,--,--,--,1
26,K,4,20,L,-27,Punt,Return,--,--,--,--,--,--,--,--,--,--,1
27,D,1,10,M,-15,Run,Rush,75,Double Tight,--,BAL,R,--,--,--,--,--,1
28,D,1,10,M,10,Run,Rush,-10,Ace Twins,--,R,R,--,--,--,--,--,1
29,D,2,20,M,20,Run,Rush,0,DOUBLES,--,BAL,L,--,--,--,--,--,1
30,D,3,20,M,20,Run,Rush,0,Trips,--,R,L,--,--,--,--,--,1
31,D,4,20,M,20,Pass,"Complete, TD",20,Trips,--,R,L,--,--,--,--,--,1
32,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,1
33,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
34,O,1,10,L,49,Pass,Interception,--,Trips,--,R,R,--,--,--,--,--,1
35,D,1,10,M,-42,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
36,D,1,10,M,-42,Run,Rush,8,Tight Pro,--,L,R,--,--,--,--,--,2
37,D,2,2,M,50,Run,Rush,5,Double Tight Wing,--,L,R,--,--,--,--,--,2
38,D,1,10,R,45,Run,Rush,35,Ace Twins,--,L,L,--,--,--,--,--,2
39,D,1,10,R,10,Run,Rush,0,Double Tight,--,BAL,R,--,--,--,--,--,2
40,D,2,10,R,10,Run,Rush,5,Double Tight Wing,--,L,L,--,--,--,--,--,2
41,D,3,5,M,5,Run,"Rush, TD",5,Double Tight,--,BAL,L,--,--,--,--,--,2
42,K,--,--,M,3,Extra Pt. Block,Penalty,--,--,--,--,--,--,--,--,--,--,2
43,K,--,--,M,1,Extra Pt. Block,No Good,--,--,--,--,--,--,--,--,--,--,2
44,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,2
45,O,1,10,R,-40,Run,Rush,-2,DOUBLES,--,BAL,L,--,--,--,--,--,2
46,O,2,12,L,-38,Run,Rush,0,DOUBLES,--,BAL,R,--,--,--,--,--,2
47,O,3,12,L,-38,--,Penalty,7,--,--,--,--,--,--,--,--,--,2
