PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,KO,TD,60,--,--,--,--,--,--,--,--,--,1
2,K,--,--,M,3,2 Pt. Defend,Good,--,--,--,--,R,--,--,--,--,--,1
3,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
4,O,1,10,M,-33,Run,Rush,4,PRO,--,R,R,--,--,--,--,--,1
5,O,2,6,R,-37,Run,Rush,4,DOUBLES,--,BAL,L,--,--,--,--,--,1
6,O,3,2,M,-41,Run,Rush,-4,DOUBLES,--,BAL,R,--,--,--,--,--,1
7,K,4,6,R,-37,Punt,Downed,--,--,--,--,--,--,--,--,--,--,1
8,D,1,10,L,-27,Run,Rush,2,Twins,--,R,R,--,--,--,--,--,1
9,D,2,8,L,-29,Run,Rush,5,LIZ,--,R,R,--,--,--,--,--,1
10,D,3,3,R,-34,Run,Rush,4,LIZ,--,R,L,--,--,--,--,--,1
11,D,1,10,L,-38,Run,Rush,4,--,--,R,R,--,--,--,--,--,1
12,D,2,6,R,-42,Run,Rush,25,--,--,R,L,--,--,--,--,--,1
13,D,1,10,L,33,Run,Rush,6,--,--,R,L,--,--,--,--,--,1
14,D,2,4,L,27,Run,Rush,3,Double Tight,--,BAL,R,--,--,--,--,--,1
15,D,3,1,R,24,Run,Rush,14,Liz Nasty,--,R,L,--,--,--,--,--,1
16,D,1,10,L,10,Run,Rush,3,Liz Nasty,--,R,L,--,--,--,--,--,1
17,D,2,7,L,7,Run,"Rush, TD",7,Double Tight,--,BAL,R,--,--,--,--,--,1
18,K,--,--,M,3,2 Pt. Defend,No Good,--,--,--,--,L,--,--,--,--,--,1
19,K,--,--,M,-40,Onside Kick,Return,--,--,--,--,--,--,--,--,--,--,1
20,O,1,10,M,-49,Run,Rush,-1,Tight Pro,--,R,R,--,--,--,--,--,1
21,O,2,11,R,-48,Run,Rush,2,Tight Pro,--,R,R,--,--,--,--,--,1
22,O,3,9,R,50,Pass,Complete,2,Ace Wing,--,R,L,--,--,--,--,--,1
23,K,4,7,L,48,Punt,Return,--,--,--,--,--,--,--,--,--,--,1
24,D,1,10,R,-5,Run,Rush,5,--,--,L,L,--,--,--,--,--,1
