PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,Onside Kick,Recovered,--,EMPTY,--,R,--,--,--,--,--,--,1
2,D,1,10,L,-45,Run,Rush,2,Tight Pro,--,R,R,--,--,--,--,--,1
3,D,2,8,L,-47,Pass,Incomplete,0,Ace Twins,--,L,R,--,--,--,--,--,1
4,D,3,8,L,-47,Pass,Incomplete,0,Twins Tight Wing,--,L,R,--,--,--,--,--,1
5,K,4,8,L,-47,Punt Rec,Downed,--,PRO,--,R,--,--,--,--,--,--,1
6,O,1,10,L,-22,Run,Rush,7,Twins,2 BADGER RED ICE,L,R,--,--,--,--,--,1
7,O,2,3,M,-29,Run,Rush,-6,Trips,Flame 2 DUCK,R,L,--,--,--,--,--,1
8,O,3,9,M,-23,Pass,Sack,-9,Trips Tight,FlOOD,R,L,--,--,--,--,--,1
9,K,4,18,M,-14,Punt,Return,--,--,--,--,--,--,--,--,--,--,1
10,D,1,10,L,9,Run,Penalty,-10,Twins Tight Wing,--,R,L,--,--,--,--,--,1
11,D,1,20,L,19,Run,Rush,-3,Ace Wing,--,R,R,--,--,--,--,--,1
12,D,2,23,L,22,Run,Rush,2,Trips,--,L,L,--,--,--,--,--,1
13,D,3,21,L,20,--,Penalty,5,Tight Pro,--,R,--,--,--,--,--,--,1
15,D,3,16,L,15,Pass,Penalty,-10,Tight Pro,--,R,R,--,--,--,--,--,1
16,D,3,26,L,25,Pass,Complete,11,Tight Pro,--,R,R,--,--,--,--,--,1
17,D,4,15,L,14,Pass,"Complete, TD",14,Quads,--,R,L,--,--,--,--,--,1
18,K,--,--,M,3,2 Pt. Defend,Good,--,Tight Pro,--,R,--,--,--,--,--,--,1
19,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
20,O,1,10,R,45,Run,Rush,10,PRO,LAZOR 2 TIGER,L,L,--,--,--,--,--,1
21,O,1,10,R,35,--,Timeout,0,--,--,--,--,--,--,--,--,--,1
22,O,1,10,R,35,Run,Rush,9,PRO,FIRE 1 OREGON PRIDE,L,L,--,--,--,--,--,1
23,O,2,1,M,26,Run,Rush,4,PRO,2 BADGER RED ICE,L,R,--,--,--,--,--,1
24,O,1,10,M,22,Run,Rush,4,Twins,ROCKET 2 AUBURN,L,L,--,--,--,--,--,1
25,O,2,6,M,18,Run,Penalty,-7,PRO,2 Badger,R,R,--,--,--,--,--,1
26,O,2,13,R,25,Run,Rush,1,PRO,LAZOR 4 DUCK LOG,R,L,--,--,--,--,--,1
27,O,3,12,M,24,Run,Rush,-1,Twins,ROCKET 3 RAZOR LEFT,L,L,--,--,--,--,--,1
28,O,4,13,L,25,Pass,Scramble,0,PRO,LIGHTNING 4 POST/CORNER,R,R,--,--,--,--,--,1
29,D,1,10,L,-18,Run,Rush,5,Tight Pro,--,R,L,--,--,--,--,--,1
30,D,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
31,D,3,5,L,-23,Run,Rush,-2,Tight Pro,--,R,R,--,--,--,--,--,1
32,K,4,7,M,-21,Punt Rec,Downed,--,Double Split,--,BAL,--,--,--,--,--,--,1
33,O,1,10,R,47,Run,Rush,-4,Twins Tight Wing,2 WISCONSIN RED ICE,L,L,--,--,--,--,--,2
34,O,2,14,M,-49,Run,Rush,6,Twins,2 WOLVERINE,L,R,--,--,--,--,--,2
35,O,3,8,R,45,Run,Rush,2,Twins,2 MICHIGAN,R,L,--,--,--,--,--,2
36,K,4,6,R,43,Punt,Return,--,--,--,--,--,--,--,--,--,--,2
37,D,1,10,L,-17,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
38,D,1,10,L,-17,--,Penalty,5,Tight Pro,--,R,--,--,--,--,--,--,2
39,D,1,5,L,-22,Run,Rush,12,Tight Pro,--,R,L,--,--,--,--,--,2
40,D,1,10,L,-34,Run,Rush,2,Tight Pro,--,R,R,--,--,--,--,--,2
41,D,2,8,L,-36,Pass,"Complete, TD",64,Tight Pro,--,R,R,--,--,--,--,--,2
42,K,--,--,M,3,2 Pt. Defend,No Good,--,--,--,--,--,--,--,--,--,--,2
43,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,2
44,O,1,10,R,-34,Run,Rush,1,Twins Tight Wing,2 WISONSIN,L,L,--,--,--,--,--,2
45,O,2,9,L,-35,Run,Rush,-3,Twins,ROCKET FLOOD,L,R,--,--,--,--,--,2
46,O,3,12,R,-32,Pass,Complete,1,Twins,4 TUNNEL LEFT,L,L,--,--,--,--,--,2
48,K,4,11,M,-33,Punt,Fair Catch,--,--,--,--,--,--,--,--,--,--,2
49,D,1,10,M,-36,Run,Rush,23,Tight Pro,--,R,R,--,--,--,--,--,2
50,D,1,10,L,41,Pass,Complete,23,Tight Pro,--,R,L,--,--,--,--,--,2
51,D,1,10,L,18,Run,Rush,3,Tight Pro,--,L,L,--,--,--,--,--,2
52,D,2,7,L,15,Run,Rush,0,Tight Pro,--,L,R,--,--,--,--,--,2
53,D,3,7,M,15,Pass,Incomplete,0,Tight Pro,--,R,R,--,--,--,--,--,2
54,D,4,7,M,15,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
55,D,4,7,M,15,Pass,Incomplete,0,Tight Pro,--,R,R,--,--,--,--,--,2
56,O,1,10,M,-15,Run,Rush,-4,PRO,2 WOLVERINE,R,L,--,--,--,--,--,2
57,O,2,14,M,-11,Pass,Complete,0,Twins Split,SPUDS BLOCK,R,R,--,--,--,--,--,2
58,O,3,14,M,-11,Run,Rush,6,Twins,ROCKET 4 DUCK LOG,L,R,--,--,--,--,--,2
59,K,4,8,R,-17,Punt,Downed,--,--,--,--,--,--,--,--,--,--,2
60,D,1,10,R,42,Pass,Scramble,9,Tight Pro,--,L,R,--,--,--,--,--,2
