PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,KO,TD,60,--,--,--,--,--,--,--,--,--,1
2,K,--,--,M,3,2 Pt. Defend,No Good,--,--,--,--,L,--,--,--,--,--,1
3,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
4,O,1,10,R,-35,Run,Rush,4,TE Trips Wing,1 WOLVERINE BLACK ICE,R,R,--,--,--,--,--,1
5,O,2,6,R,-39,Run,Rush,6,PRO,2 WOLVERINE LOG,R,R,--,--,--,--,--,1
6,O,1,10,R,-45,Run,Rush,4,Twins Tight Wing,ROCKET 4 DUCK,R,R,--,--,--,--,--,1
7,O,2,6,R,-49,Pass,Scramble,22,Twins,STICK,R,L,--,--,--,--,--,1
8,O,1,10,M,29,Run,Rush,4,Twins Tight Wing,2 WOLVERINE ICE,R,R,--,--,--,--,--,1
9,O,2,6,R,25,Run,Rush,-4,PRO,2 WOLVERINE BLACK,R,L,--,--,--,--,--,1
10,O,3,10,M,29,--,Timeout,0,--,--,--,--,--,--,--,--,--,1
11,O,3,10,M,29,Pass,Incomplete,0,Trips Tight,SHORT,R,R,--,--,--,--,--,1
12,O,4,10,M,29,Pass,Interception,--,TE Trips Split,LIGHTNING 2 WHEEL,R,R,--,--,--,--,--,1
13,D,1,10,L,-28,Run,Rush,4,Double Tight,--,BAL,R,--,--,--,--,--,1
14,D,2,6,M,-32,Run,Rush,13,Double Tight,--,BAL,L,--,--,--,--,--,1
15,D,1,10,L,-45,Run,Rush,9,Double Tight,--,BAL,L,--,--,--,--,--,1
16,D,2,1,L,46,Pass,Complete,2,Double Tight,--,BAL,L,--,--,--,--,--,1
17,D,1,10,L,44,Run,"Rush, TD",44,Double Tight,--,BAL,L,--,--,--,--,--,1
18,K,--,--,M,3,2 Pt. Defend,Good,--,--,--,--,R,--,--,--,--,--,1
19,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
20,O,1,10,L,46,Pass,Incomplete,0,Ace Twins,CHOICE,R,R,--,--,--,--,--,1
21,O,2,10,L,46,Run,Rush,3,Twins Tight Wing,1 WOLVERING BLACK ICE,R,R,--,--,--,--,--,1
22,O,3,7,M,43,Pass,Scramble,6,Trips Tight,FlOOD,L,R,--,--,--,--,--,1
23,O,4,1,R,37,Run,Rush,-3,PRO,2 WOLVERINE LOG,R,R,--,--,--,--,--,1
24,D,1,10,L,-40,Run,Rush,1,Double Tight,--,BAL,L,--,--,--,--,--,1
25,D,2,9,L,-41,Run,Rush,7,Double Tight,--,BAL,R,--,--,--,--,--,1
26,D,3,2,L,-48,Run,Rush,-1,Double Tight,--,BAL,L,--,--,--,--,--,1
27,K,4,3,L,-47,Punt Rec,Downed,--,--,--,--,--,--,--,--,--,--,1
28,O,1,10,R,-10,Run,Rush,7,Twins Tight Wing,LAZOR 2 WOLVERING LOG,L,L,--,--,--,--,--,1
29,O,2,3,L,-17,Run,Rush,3,PRO,2 BADGER RED,R,R,--,--,--,--,--,1
30,O,1,10,L,-20,Run,Rush,-8,Twins,FIRE 4 GATOR PRIDE,L,L,--,--,--,--,--,1
31,O,2,18,L,-12,Run,Fumble,-6,PRO,ROCKET 4 DUCK LOG,R,R,--,--,--,--,--,1
32,D,1,6,L,6,Run,Penalty,-20,Double Tight,--,BAL,R,--,--,--,--,--,2
33,D,1,26,M,26,Run,Rush,12,Double Tight,--,BAL,L,--,--,--,--,--,2
34,D,2,14,M,14,Run,Rush,4,Double Tight,--,BAL,L,--,--,--,--,--,2
35,D,3,10,L,10,Run,Rush,7,Double Tight,--,BAL,R,--,--,--,--,--,2
36,D,4,3,M,3,Run,Timeout,0,--,--,--,L,--,--,--,--,--,2
37,D,4,3,M,3,Run,"Rush, TD",3,Double Tight,--,BAL,R,--,--,--,--,--,2
38,K,--,--,M,3,2 Pt. Defend,Good,--,--,--,--,L,--,--,--,--,--,2
39,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,2
40,O,1,10,M,-13,Run,Rush,7,Ace Twins,FIRE SCAT,R,L,--,--,--,--,--,2
