PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
55,K,--,--,M,-40,KO,TD,60,--,--,--,--,--,--,--,--,--,1
56,K,--,--,M,3,2 Pt. Defend,Good,--,Double Tight Wing,--,R,R,--,--,--,--,--,1
57,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
58,O,1,10,R,-23,Run,Rush,1,Double Wing Split,ROCKET 2 WOLVERINE ICE,R,R,--,--,--,--,--,1
59,O,2,9,R,-24,Pass,Complete,6,Ace Twins,X FIRE MESH,L,L,--,--,--,--,--,1
60,O,3,3,L,-30,Pass,Interception,39,Ace Twins,2 FIRE CHOICE,L,R,--,--,--,--,--,1
61,D,1,10,M,31,Run,Rush,13,Double Tight,--,BAL,R,--,--,--,--,--,1
62,D,1,10,M,18,Run,"Rush, TD",18,Double Tight Wing,--,R,L,--,--,--,--,--,1
63,K,--,--,M,3,2 Pt. Defend,No Good,--,--,--,--,R,--,--,--,--,--,1
64,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
65,O,1,10,M,-38,Run,Rush,1,PRO,3 AUBURN,R,L,--,--,--,--,--,1
66,O,2,9,M,-39,Pass,Complete,20,Ace Twins,X FIRE MESH RETURN,L,L,--,--,--,--,--,1
67,O,1,10,L,41,Pass,Sack,-11,TE Trips Wing,2 DUCK,R,R,--,--,--,--,--,1
68,O,2,21,R,-48,--,Penalty,-11,Empty Tight,Y RAZOR LEFT,L,--,--,--,--,--,--,1
69,O,2,32,M,-37,Pass,Complete,11,Empty Tight,CHOICE STICK,R,L,--,--,--,--,--,1
70,O,3,21,L,-48,Pass,Incomplete,0,Empty Tight,FIRE LIGHTNING 3 WHEEL,R,R,--,--,--,--,--,1
71,K,4,21,L,-48,Punt,Out of Bounds,0,--,--,--,L,--,--,--,--,--,1
72,D,1,10,R,-15,Run,Rush,4,--,--,--,L,--,--,--,--,--,1
73,D,2,6,M,-19,--,Penalty,-6,--,--,--,--,--,--,--,--,--,1
74,D,2,12,M,-13,Run,Rush,8,Double Tight,--,BAL,R,--,--,--,--,--,1
75,D,3,4,M,-21,Run,Rush,14,--,--,L,R,--,--,--,--,--,1
76,D,1,10,R,-35,Run,Rush,3,Double Tight,--,BAL,L,--,--,--,--,--,1
77,D,2,7,R,-38,Run,Rush,5,--,--,L,L,--,--,--,--,--,1
78,D,3,2,M,-43,--,Penalty,-10,Double Tight,--,BAL,--,--,--,--,--,--,1
79,D,3,12,M,-33,Run,Rush,0,Double Tight,--,BAL,L,--,--,--,--,--,1
80,K,4,12,M,-33,Punt Rec,Downed,0,--,--,--,L,--,--,--,--,--,1
81,O,1,10,M,-34,Run,Fumble,28,Ace Twins,ROCKET 3 DUCK 4 REVERSE,L,L,--,--,--,--,--,1
82,D,1,10,R,38,Run,Rush,6,--,--,L,R,--,--,--,--,--,1
83,D,2,4,R,32,Run,Rush,7,Double Tight,--,BAL,L,--,--,--,--,--,1
84,D,1,10,L,25,Run,Rush,3,--,--,L,L,--,--,--,--,--,1
85,D,2,7,L,22,Run,Rush,3,Double Tight,--,BAL,R,--,--,--,--,--,2
86,D,3,4,M,19,Run,Rush,16,Double Tight,--,BAL,R,--,--,--,--,--,2
87,D,1,3,M,3,Run,"Rush, TD",3,Double Tight,--,BAL,R,--,--,--,--,--,2
88,K,--,--,M,3,2 Pt. Defend,Good,--,Double Tight,--,BAL,L,--,--,--,--,--,2
89,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,2
90,O,1,10,R,-24,Run,Rush,1,Ace Twins,ROCKET 2 AUBURN,L,L,--,--,--,--,--,2
91,O,2,9,M,-25,Pass,Complete,21,Empty Tight,X FIRE CHOICE 3 GO,L,L,--,--,--,--,--,2
92,O,1,10,L,-46,Run,Rush,26,Twins Tight Wing,2 WOLVEINE ICE,R,R,--,--,--,--,--,2
93,O,1,10,R,28,--,Penalty,13,Trips Tight,FlOOD,L,--,--,--,--,--,--,2
94,O,1,10,R,15,Pass,Complete,11,Ace Twins,2 RAZOR LEFT,R,L,--,--,--,--,--,2
95,O,1,4,R,4,Run,Rush,-1,Ace Twins,Lazor 3 Oregon,R,L,--,--,--,--,--,2
96,O,2,5,L,5,Pass,"Complete, TD",5,DOUBLES,LIGHTNING Y CORNER,BAL,R,--,--,--,--,--,2
97,K,1,--,L,3,2 Pt.,No Good,--,Ace Twins,--,R,R,--,--,--,--,--,2
98,K,--,--,M,-40,KO,Return,--,Quads,--,R,--,--,--,--,--,--,2
99,D,1,10,R,-40,Run,Rush,9,Double Tight Wing,--,R,R,--,--,--,--,--,2
100,D,2,1,R,-49,Run,Rush,10,--,--,L,R,--,--,--,--,--,2
101,D,1,10,R,41,Run,Rush,-4,Double Tight,--,BAL,L,--,--,--,--,--,2
102,D,2,14,R,45,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
103,D,2,14,R,45,Pass,Incomplete,0,Double Tight,--,BAL,L,--,--,--,--,--,2
104,D,3,14,R,45,Run,Rush,10,Double Tight,--,BAL,R,--,--,--,--,--,2
105,D,4,4,R,35,Run,Rush,25,Double Tight,--,BAL,L,--,--,--,--,--,2
106,D,1,10,R,10,Run,"Rush, TD",10,Double Tight,--,BAL,R,--,--,--,--,--,2
107,K,--,--,M,3,2 Pt. Defend,No Good,--,--,--,--,L,--,--,--,--,--,2
108,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,2
109,O,1,10,R,-20,Pass,Complete,20,Empty Wing,CHOICE STICK,R,R,--,--,--,--,--,2
110,O,1,10,R,-40,Pass,Complete,6,DOUBLES,Y RAZOR LEFT,BAL,L,--,--,--,--,--,2
111,O,2,4,R,-46,Run,Rush,2,TE Trips Split,4 MONEY BOB,L,R,--,--,--,--,--,2
112,O,3,2,R,-48,Run,Rush,42,Empty Tight,CHOICE STICK,L,L,--,--,--,--,--,2
113,O,1,10,L,10,Run,Rush,8,Ace Twins,ROCKET 3 DUCK FAKE 4 REVERSE,L,R,--,--,--,--,--,2
114,O,2,2,R,2,Run,Rush,0,Ace Twins,2 HAWKEYE,L,R,--,--,--,--,--,2
